TRANS_DIST	JS_DIST	ROT_DIST	X	Y	Z	A	B	C	TIME	MT0	MT1	MT2	MT3	MT4	MT5	MT6	FX	FY	FZ	TA	TB	TC	J0	J1	J2	J3	J4	J5	J6	
3.79038	0.00908	0.00043	449.407	-63.910	-135.120	-1.571	0.000	-3.141	12317	0.493	52.459	-6.333	-7.370	0.177	-0.142	0.136	-1.870	-0.643	2.145	0.051	1.016	0.115	-0.436	0.997	0.355	-1.864	-0.784	0.425	-1.071	
5.85656	0.02395	0.00051	449.693	-69.759	-135.051	-1.571	0.000	-3.141	12600	2.457	50.396	-3.198	-4.749	0.184	-1.801	-0.095	-4.503	-6.081	1.118	-0.545	0.888	-0.063	-0.451	0.998	0.355	-1.861	-0.781	0.427	-1.089	
0.31342	0.00089	0.00051	449.435	-69.923	-135.123	-1.571	0.000	-3.141	12833	1.249	51.353	-4.618	-6.013	0.332	-0.993	-0.144	-3.537	-7.361	0.364	-0.813	0.244	-0.147	-0.451	0.998	0.355	-1.861	-0.781	0.427	-1.090	
2.57949	0.00746	0.00062	449.054	-67.373	-135.208	-1.571	-0.000	3.141	13114	-0.089	52.677	-6.360	-7.531	0.549	0.060	-0.116	0.801	-2.044	0.678	-1.133	-0.858	-0.084	-0.447	0.997	0.354	-1.862	-0.782	0.427	-1.084	
2.47480	0.01006	0.00055	449.374	-64.921	-135.116	-1.571	0.000	-3.141	13408	0.044	52.668	-6.361	-7.536	0.508	0.051	-0.064	0.447	-1.911	0.805	-1.044	-0.656	-0.056	-0.441	0.997	0.355	-1.863	-0.784	0.426	-1.077	
0.01736	0.00003	0.00003	449.379	-64.904	-135.116	-1.571	0.000	-3.141	13660	-0.023	52.497	-6.361	-7.460	0.497	0.053	0.070	0.433	-1.930	0.713	-1.035	-0.632	-0.044	-0.441	0.997	0.355	-1.863	-0.784	0.426	-1.077	
0.00931	0.01822	0.03212	449.379	-64.913	-135.116	-1.539	0.000	-3.141	13894	-0.001	52.674	-6.300	-7.495	0.534	0.042	0.151	0.029	-1.621	1.036	-0.779	-0.357	0.108	-0.441	0.997	0.355	-1.863	-0.784	0.426	-1.095	
0.00780	0.14761	0.17005	449.386	-64.909	-135.116	-1.369	0.000	-3.141	14170	0.001	52.553	-6.307	-7.452	0.400	0.020	0.181	0.374	-1.590	1.010	-0.694	-0.520	0.108	-0.441	0.997	0.355	-1.863	-0.784	0.426	-1.242	
0.01225	0.18458	0.16516	449.394	-64.900	-135.116	-1.203	0.000	-3.141	14453	-0.005	52.556	-6.364	-7.529	0.493	0.066	0.152	0.524	-1.532	1.017	-0.632	-0.568	0.121	-0.441	0.997	0.355	-1.863	-0.784	0.426	-1.427	
0.00579	0.04223	0.02531	449.399	-64.897	-135.116	-1.178	0.000	-3.141	14736	0.008	52.531	-6.351	-7.486	0.498	0.060	0.071	0.768	-1.602	0.892	-0.671	-0.722	0.049	-0.441	0.997	0.355	-1.863	-0.784	0.426	-1.469	
